id,title,author,source_text,source_grade,license,url
2939,Cat and Dog and the worms,Elke and René Leisink,"Cat and Dog open the door. They open the door of their house. Cat and Dog leave their house. Cat and Dog walk. They walk on the grass. They walk between the trees. They walk through the bush. Then they stop. Cat and Dog see a sign. They see a sign on a tree. Cat and Dog look at the sign. They look at the words on the sign. Cat and Dog read. They read the sign, 'look out for the cape.' Cat says, ""What is a cape?"" Dog says, ""A cape is a jacket. Cat and Dog cannot see a cape. Then they laugh. They laugh at the sign. They laugh at the silly sign. But then the words change! Cat and Dog read. They read the sign. 'Look out for the grape.' Cat says, ""What is a grape?"" Dog says, ""A grape is a fruit."" Cat and Dog cannot see a grape. Then they laugh. They laugh at the sign. They laugh at the silly sign.",-1.04,CC BY 4.0,https://www.africanstorybook.org/#
6984,THE LITTLE MATCH GIRL,E. Louise Smythe,"Gretchen had a lot of matches in her old apron. She had a little bunch in her hand. But she could not sell her matches. No one would buy them. Poor little Gretchen! She was cold and hungry. The snow fell on her curly hair. But she did not think about that. She saw lights in the houses. She smelled good things cooking. She said to herself, ""This is the last night of the year."" Gretchen got colder and colder. She was afraid to go home. She knew her papa would be mad at her, if she did not take some money to him. It was as cold at home as in the street. They were too poor to have a fire. They had to put rags in the windows to keep out the wind. Gretchen did not even have a bed. She had to sleep on a pile of rags. She sat down on a door step.",0.93,Public Domain,http://www.gutenberg.org/files/7841/7841-h/7841-h.htm#iii
3456,The Job Hunt - Grade 2,Core Knowledge Foundation,"Kim was happy that she had found a summer job. ""Let's go and visit Mom,"" she said. ""She will be finished teaching by the time we get there."" Kim held up a hand to hail a cab. A yellow cab screeched to a stop on the side of the street. ""Where to?"" asked the driver. Kim told him the address. They made it safely. Kim paid the driver. She and Kurt went in to see their mom. Mrs. Gunter gave Kim a big hug. Kurt snuck in between them so he could be part of the hug, too. Then Kim told her mom how they had spent the day. She told her mom how she had used math to help her get the job at the grocery. By the end of the story, Mrs. Gunter was beaming. ""You see,"" she said. ""I told you math would help you out one day."" ""I never dreamed I would have a job in a grocery,"" added Kim, ""but I think it's going to be a good job for me."" ""It may not be the job of your dreams,"" said her mom.",1.39,CC BY 3.0,https://freekidsbooks.org/wp-content/uploads/2019/12/ELA_Grade2_Unit4_Workbook_engageNY-FKB.pdf
3411,King of the birds,South African Folktale,"Once long ago, the birds had a meeting. They wanted a king, just like people and animals. Which bird should be king? ""Eagle, he is strong and kingly!"" said one bird. ""No, he has no crown, and when he calls, he sounds too sad,"" said another. ""Then Ostrich, because he is the largest and roars like a lion,"" one called out. ""No, he can't fly. The king of the birds must be able to fly."" ""I think I should be king,"" said Peacock, fanning his tail. ""I am so beautiful."" ""You are too proud,"" said Owl. ""I have the largest eyes of any bird. I should be king."" ""No, not you, Owl,"" the other birds shouted. ""You go to sleep when the sun rises!"" And so they didn't get very far with choosing a king. Then one bird had an idea. ""The one who can fly the highest will be king,"" she said. ""Yes, yes,"" all the birds shouted, and they all flew up, up, into the sky. Goose flew for one day, straight over the highest mountains in the world. Eagle flew for two days, into the sky high above the mountains.",1.87,CC BY 4.0,https://www.africanstorybook.org/
7215,The Wolf and the Seven Young Kids,William and Jacob Grimm,"So the old goat went on her way into the dark woods. She had not been gone long when there came a loud rap at the door, and a voice cried: ""Open the door, my dear children. I have something here for each of you."" But the young kids knew by the rough voice that this was the old wolf. So one of them said, ""We shall not open the door. Our mother's voice is soft and gentle. Your voice is rough. You are a wolf."" The old wolf ran away to a shop, where he ate a piece of white chalk to make his voice soft. Then he went back to the goat's hut and rapped at the door. He spoke in a soft voice and said, ""Open the door for me, my dear children. I am your mother."" But the oldest little goat thought of what his mother had said. ""If you are our mother, put your foot on the window sill, that we may see it."" When the wolf had done this, all the little goats cried out, ""No, you are not our mother. We shall not open the door.""",2.08,Public Domain,http://www.gutenberg.org/files/15659/15659-h/15659-h.htm#THE_WOLF_AND_THE_SEVEN_YOUNG_KIDS
3291,Caterpillar Looks for a Shoe,Somsanouk Bouttavong,"Caterpillar has lost a shoe. It hurts her foot to walk without it. Caterpillar goes to Spider. ""May I borrow a shoe from you, Spider?"" But Spider's shoe is too small. Caterpillar is sad without her shoe. She goes to Frog. ""May I borrow a shoe from you, Frog?"" But Frog's shoe is too big. She goes to Grasshopper. ""May I borrow a shoe from you, Grasshopper?"" But Grasshopper's shoe is too scratchy. She goes to Crab. ""May I borrow a shoe from you, Crab?"" But Crab's shoes are used for digging. They are too sharp for walking! Caterpillar is too tired to search any more. She curls up on a leaf to rest. Caterpillar decides to make a cozy cocoon to sleep in. Days pass by. And when Caterpillar steps out of her cocoon... She doesn't need shoes anymore!",2.23,CC BY 4.0,https://www.digitallibrary.io/en/books/details/3762
5494,PHILIP'S NEW WHIP,A. B. C.,"Now, what is all this noise about? The hens cackle and run about. The pig squeals. Over the fence flies the old gander, and after him flies the goose. Now, what can be the matter? I will tell you. It all comes from this: our little Philip has had a present of a new whip; and the first thing he does with it is to see how his friends in the barn-yard like it. He does not like to try it on the horse or on the cow; for the horse can kick, and the cow can hook with her horns. So, like a little coward, he frightens the hens, and the poor geese, and the pig, shut up in his pen. I do not think it right. We ought to protect the weak, and not try to scare or hurt them.",2.44,Public Domain,http://www.gutenberg.org/files/28137/28137-h/28137-h.htm#Page_85
3307,Disability is Not Inability,Wiehan de Jager,"One day I met Agnes. She is a very good English teacher. She walks using crutches on both sides of the arms. When I went for the music show, I met with Mosa. He is a music DJ at all shows. Mosa has albinism. He has problems with his eyes. My neighbor is Ms. Nerima. Her legs are crippled but is a prominent farmer in the village. Mosa has a problem with hearing. He speaks with Sign language. Mosa is the best soccer player in the whole village. I like watching him play. Mosa had an accident with his hands. But he can win matches with his feet! Now I know that even people with challenges can do anything! I will tell my friend Jackie not to give up. Hurray! We can all do everything in life! No one is disable in this world.",2.62,CC BY 4.0,https://www.africanstorybook.org/#
5601,OUR DOG MILO,?,"There was no end to the uses to which we put the dear little dog in our plays. Never did he snarl, or lose his temper. He saw that we loved him; and he repaid our love by taking all the pains he could to please us. But a dark time came for Milo and for us. A fright about mad dogs broke out in our town. A bad fellow said he had seen another dog, who was known to be mad, bite Milo. This was untrue; for Milo was at home at the time. But all our prayers were of no use. We must bring Milo to the town-hall to have him shot. How we children wept and took on! Poor Milo, our dear little playmate! Must we lose him forever? We could not bear the thought. The little dog himself saw that something was the matter, and whined at seeing us all so sad. All at once up started our eldest brother, Robert, and declared it should not be. He would rescue the little dog.",2.74,Public Domain,http://www.gutenberg.org/files/21047/21047-h/21047-h.htm#OUR_DOG_MILO
5706,GRANDPA'S BOOTS,E. A. R.,"All the boys were out sliding. Ed Peet had come from over the river; Fred Danforth was there from the tavern; and George Sawtelle came running up from the big house under the willow. Others were there too, slipping along on Jack Frost's floor. Little Albert looked out of the window, and saw the boys at their play. Why couldn't he go out too? ""Shall I go, mother?"" he asked. ""Your slippers are too thin, Albert."" ""Oh! I can put on grandpa's boots."" ""Yes, you can go, but be careful. You are too young for such rough sport."" Off scampered the eager feet, and on went the big boots. A smile must have lighted up the mother's eyes as she heard her little boy tramping over the floor in the heavy boots. The boys were taking their turn at sliding. Away down at the end of the line stood Albert. They were sliding carefully, not running too hard; for a little way out the ice was thin. After a while, it was Albert's turn. ""I'll beat those big, clumsy boys,"" he thought.",2.94,Public Domain,http://www.gutenberg.org/files/24943/24943-h/24943-h.htm#Page_171
7216,Tom Thumb,Grimm Brothers,"""Why are you sad?"" asked Merlin. ""You seem to have a good farm, a pleasant cottage, and many things to make you happy."" ""Ah!"" said the woman, ""we are unhappy because we have no child. I should be the happiest woman in the world if I had a son. Why, even if he were no bigger than my husband's thumb, we should love him dearly."" ""That would be indeed a very strange kind of child,"" said Merlin, ""but I hope you may have your wish."" Now Merlin was on his way to call on the queen of the fairies. When he came to her castle the next day, he told the fairy queen the wish of the farmer's wife. The queen of the fairies said, ""The good woman shall have her wish. I will give her a son no larger than her husband's thumb."" Soon after this the good farmer's wife had a son. He was, indeed, just the size of his father's thumb. People came from far and wide to see the tiny boy. One day the fairy queen and some other fairies came to see him. The queen kissed the little boy and named him Tom Thumb.",3.03,Public Domain,http://www.gutenberg.org/files/15659/15659-h/15659-h.htm#TOM_THUMB
6500,The Tale of Snowball Lamb,Arthur Scott Bailey,"In the same pasture with Snowball was a black lamb. He was the black lamb that Farmer Green once gave to Johnnie for a pet. But he ran away up the lane the very first time Johnnie tried to hold him in his arms. After that the black lamb had always stayed with the flock. He was a wild, unruly fellow, bigger and older than Snowball. And he was quite outspoken—and not always careful of his language. This black lamb chanced to be near Snowball when Johnnie Green came into the pasture on a certain fine morning. And when Johnnie began calling to Snowball the black lamb said, ""Why don't you run the other way? That's what I always do when boys call me."" Snowball made no answer. He stood and looked at Johnnie Green, who was walking towards him with outstretched hand. ""Come on!"" cried the black lamb. ""I'll run with you."" ""No!"" said Snowball. ""Johnnie may have something good for me to eat. Some salt, maybe!""",3.15,Public Domain,http://www.gutenberg.org/files/24592/24592-h/24592-h.htm
5721,THE BIOGRAPHY OF A BUBBLE,Grace's Papa,"Grace reminded him several times of his promise; but papa was always too busy to attend to it. At last Grace said, ""When will one of these days come?""—""It shall come now,"" said papa. So he got a pipe, and a bowl of soap-suds; and Grace stood at his knee while he blew bubbles. Grace was delighted. ""Name them,"" said she; for papa had named her kittens, and she thought he could name the bubbles. The first one's name was ""Sparkle."" It was a very big bubble; but it did not live long. The name of the second was ""Glory."" I think it might have lived a second longer than it did, if Grace had not touched it with her finger. The third bubble floated up almost to the ceiling. Its name was ""Napoleon."" It rose as bravely as if it had no fear of breaking. It expired of old age, after reaching the term of ten seconds and a half.",3.27,Public Domain,http://www.gutenberg.org/files/24475/24475-h/24475-h.htm#Page_33
6559,Daddy Takes Us to the Garden,Howard Roger Garis,"Daddy Blake had to go away early the next morning, to be gone three days, so he did not have time to tell Hal and Mab why it was that seeds grew when planted in the ground. But before going to school on Monday the brother and sister saw to it that the glass covered box in which the tomato plants were soon to grow, was put in a sunny window. On the way to school they looked in the big yard of Mr. Porter who lived next door. He was raking up some dried leaves and grass and a small, red-haired boy was watching him. ""Hello, little ones!"" called Mr. Porter. ""Have you got your garden started yet?"" ""Not yet,"" answered Hal. ""But we got tomato seeds planted in the house,"" said Mab. ""Yes, and I must do that too. We'll see who'll have the finest garden,"" went on Mr. Porter. ""How's your poodle dog?"" ""Oh, we got him shut up so he can't hurt your garden,"" Hal said. ""Don't worry about that yet,"" went on the neighbor. ""I haven't planted any seeds yet, and shall not until it gets warmer. So you may let your dog run loose.""",3.34,Public Domain,http://www.gutenberg.org/files/14859/14859-h/14859-h.htmm
3324,Old rooster,Cissy Kiwanuka Luyiga,"Once upon a time there was an old woman who lived alone. She had many chickens. Among them was a rooster that was very old and could no longer crow. One day the old woman's grandson visited. She was very happy to see him. She asked the young man to catch the old rooster so they could cook and eat it. The old rooster heard the woman talking and its heart sank. ""Aaiii, you are also very old, but I don't see anyone trying to kill you, we will see!"" So, the old rooster sneaked away and decided to head for the big city to start singing. As the old rooster walked, he met the cat. ""What has happened?"" the cat asked. ""My friend, my boss wants to eat me because I can no longer tell her the time,"" said the old rooster. ""I am going to the big city to sing. Where are you going?"" ""My friend, my boss has also decided to kill me because I can no longer catch rats. I am running away,"" said the cat. ""Can I join you?"" ""Let's go!"" said the old rooster.",3.49,CC BY 4.0,https://www.africanstorybook.org/
6160,The Adventures of Lightfoot the Deer,Thornton W. Burgess,"Peter Rabbit was puzzled. He stared at Lightfoot the Deer a wee bit suspiciously. ""Have you been tearing somebody's coat?"" he asked again. He didn't like to think it of Lightfoot, whom he always had believed quite as gentle, harmless, and timid as himself. But what else could he think? Lightfoot slowly shook his head. ""No,"" said he, ""I haven't torn anybody's coat."" ""Then what are those rags hanging on your antlers?"" demanded Peter. Lightfoot chuckled. ""They are what is left of the coverings of my new antlers,"" he explained. ""What's that? What do you mean by new antlers?"" Peter was sitting up very straight, with his eyes fixed on Lightfoot's antlers as though he never had seen them before. ""Just what I said,"" retorted Lightfoot. ""What do you think of them? I think they are the finest antlers I've ever had. When I get the rest of those rags off, they will be as handsome a set as ever was grown in the Green Forest.""",3.57,Public Domain,http://www.gutenberg.org/files/19079/19079-h/19079-h.htm
